measure,chord,note
1,A:min,C
1,A:min,E
1,A:min,E
1,A:min,C
1,A:min,C
2,A:min,E
2,A:min,E
2,A:min,C
2,A:min,C
2,A:min,E
2,A:min,F
2,A:min,E
3,E:maj,D
3,E:maj,D
3,E:maj,D
3,E:maj,B
3,E:maj,B
4,E:maj,D
4,E:maj,D
4,E:maj,B
4,E:maj,B
4,E:maj,D
4,E:maj,E
4,E:maj,D
5,A:min,C
5,A:min,C
5,A:min,C
5,A:min,A
5,A:min,A
6,F:maj,C
6,F:maj,C
6,F:maj,A
6,F:maj,A
6,F:maj,C
6,F:maj,D
6,F:maj,C
7,F:maj,B
7,F:maj,B
7,F:maj,B
7,F:maj,G#
7,F:maj,G#
8,F:maj,G#
8,F:maj,A
8,F:maj,B
8,F:maj,F
9,A:min,E
11,A:min,G
11,A:min,A
11,A:min,B
11,A:min,G#
12,A:maj,C#
13,A:maj,C#
13,A:maj,D
13,A:maj,E
13,A:maj,A
14,D:min,F
14,D:min,A
14,D:min,D
14,D:min,A
15,G:maj,A
15,G:maj,B
15,G:maj,B
15,G:maj,D
15,G:maj,F
15,G:maj,D
16,C:maj,E
16,C:maj,G
16,C:maj,E
16,C:maj,A
17,F:maj,G
17,F:maj,A
17,F:maj,A
17,F:maj,C
17,F:maj,E
17,F:maj,C
18,D:min,D
18,D:min,B
18,D:min,D
18,D:min,B
19,A:min,C
19,A:min,D
19,A:min,E
19,A:min,A
19,A:min,C
19,A:min,E
20,D:min,F
20,D:min,G
20,D:min,A
20,D:min,C
21,G:maj,C
21,G:maj,B
21,G:maj,C
21,G:maj,D
21,G:maj,F
22,C:maj,E
22,C:maj,E
22,C:maj,F
22,C:maj,G
23,F:maj,B
23,F:maj,A
23,F:maj,A
23,F:maj,G
23,F:maj,F
23,F:maj,E
24,B:maj,D#
24,B:maj,F#
24,B:maj,A
24,B:maj,F#
25,E:maj,G#
26,E:maj,G#
27,A:min,C
27,A:min,E
27,A:min,E
27,A:min,C
27,A:min,C
28,A:min,E
28,A:min,E
28,A:min,C
28,A:min,C
28,A:min,E
28,A:min,F
28,A:min,E
29,E:maj,D
29,E:maj,D
29,E:maj,D
29,E:maj,B
29,E:maj,B
30,E:maj,D
30,E:maj,D
30,E:maj,B
30,E:maj,B
30,E:maj,D
30,E:maj,E
30,E:maj,D
31,A:min,C
31,A:min,C
31,A:min,C
31,A:min,A
31,A:min,A
32,F:maj,C
32,F:maj,C
32,F:maj,A
32,F:maj,A
32,F:maj,C
32,F:maj,D
32,F:maj,C
33,E:maj,B
33,E:maj,B
33,E:maj,B
33,E:maj,G#
33,E:maj,G#
34,E:maj,G#
34,E:maj,A
34,E:maj,B
34,E:maj,G#
35,A:min,A
36,A:min,A
