measure,chord,note
2,C:maj,C
3,C:maj,C
3,C:maj,C
3,C:maj,E
3,C:maj,G
4,F:maj,C
4,F:maj,C
5,F:maj,A
5,F:maj,C
6,C:maj,C
7,F:maj,C
7,F:maj,C
7,F:maj,F
7,F:maj,A
8,G:maj,G
9,G:maj,G
9,G:maj,A
9,G:maj,B
10,C:maj,C
11,C:maj,C
11,C:maj,E
11,C:maj,A
12,C:maj,G
12,C:maj,E
13,C:maj,E
13,C:maj,G
14,G:maj,G
15,G:maj,G
15,G:maj,B
15,G:maj,D
16,C:maj,C
17,C:maj,E
17,C:maj,G
18,C:maj,C
19,C:maj,C
19,C:maj,C
19,C:maj,E
19,C:maj,G
20,F:maj,C
20,F:maj,C
21,F:maj,A
21,F:maj,C
22,C:maj,C
23,F:maj,C
23,F:maj,C
23,F:maj,F
23,F:maj,A
24,G:maj,G
25,G:maj,G
25,G:maj,A
25,G:maj,B
26,C:maj,C
27,C:maj,C
27,C:maj,E
27,C:maj,A
28,C:maj,G
28,C:maj,E
29,C:maj,E
29,C:maj,G
30,G:maj,G
31,G:maj,G
31,G:maj,B
31,G:maj,B
32,C:maj,C
33,C:maj,C
33,C:maj,C
33,C:maj,C
34,F:maj,A
35,F:maj,A
35,F:maj,A
35,F:maj,B
36,D:min,C
36,D:min,B
37,G:maj,B
37,G:maj,C
37,G:maj,C
38,C:maj,G
39,C:maj,G
39,C:maj,G
39,C:maj,A
40,C:maj,E
40,C:maj,G
41,C:maj,G
41,C:maj,C
41,C:maj,C
42,F:maj,A
43,F:maj,A
43,F:maj,A
43,F:maj,A
43,F:maj,B
44,D:min,C
44,D:min,B
45,G:maj,B
45,G:maj,C
45,G:maj,C
46,C:maj,G
47,C:maj,G
47,C:maj,E
47,C:maj,G
47,C:maj,G
48,D:min,G
48,D:min,D
49,G:maj,D
49,G:maj,E
49,G:maj,G
50,C:maj,C
51,C:maj,C
51,C:maj,C
51,C:maj,E
51,C:maj,G
52,F:maj,C
52,F:maj,C
53,F:maj,A
53,F:maj,C
54,C:maj,C
55,F:maj,C
55,F:maj,C
55,F:maj,F
55,F:maj,A
56,G:maj,G
57,G:maj,G
57,G:maj,A
57,G:maj,B
58,C:maj,C
59,C:maj,C
59,C:maj,E
59,C:maj,A
60,C:maj,G
60,C:maj,C
61,C:maj,E
61,C:maj,G
62,G:maj,G
63,G:maj,G
63,G:maj,B
63,G:maj,D
64,C:maj,C
65,G:maj,E
65,G:maj,G
66,C:maj,C
67,C:maj,C
