measure,chord,note
1,C:maj,E
1,C:maj,G
1,C:maj,C
2,C:maj,E
3,E:maj,E
3,E:maj,G#
3,E:maj,B
4,E:maj,E
5,A:maj,F
5,A:maj,E
5,A:maj,C#
6,A:maj,A
6,A:maj,G
6,A:maj,G
7,D:maj,F#
7,D:maj,A
7,D:maj,E
8,D:maj,D
9,G:maj,F
9,G:maj,G
9,G:maj,B
10,G:maj,D
11,C:maj,E
11,C:maj,G
11,C:maj,C
12,C:maj,E
13,G:maj,D
13,G:maj,B
13,G:maj,D
14,D:maj,C
14,D:maj,B
14,D:maj,A
15,G:maj,D
16,G:maj,D
17,C:maj,E
17,C:maj,G
17,C:maj,C
18,C:maj,E
19,E:maj,E
19,E:maj,G#
19,E:maj,B
20,E:maj,E
21,A:maj,F
21,A:maj,E
21,A:maj,D
22,A:maj,E
22,A:maj,F
22,A:maj,E
23,D:min,A
24,A:maj,A
25,D:min,F
25,D:min,E
25,D:min,D
26,F:min,F
27,C:maj,E
27,C:maj,D
27,C:maj,C
28,A:maj,E
29,D:maj,A
29,D:maj,B
29,D:maj,C
30,D:min,D
30,D:min,E
30,D:min,G
31,C:maj,C
32,C:maj,C
