measure,chord,note
1,G:maj,B
1,G:maj,A
1,G:maj,B
1,G:maj,A
2,C:maj,B
2,C:maj,A
2,C:maj,B
2,C:maj,A
3,G:maj,G
3,G:maj,G
3,G:maj,F
3,G:maj,F
3,G:maj,E
3,G:maj,E
3,G:maj,D
4,C:maj,C
4,C:maj,B
4,C:maj,A
4,C:maj,A#
5,G:maj,B
5,G:maj,A
5,G:maj,B
5,G:maj,A
6,C:maj,B
6,C:maj,A
6,C:maj,B
6,C:maj,A
7,G:maj,G
7,G:maj,G
7,G:maj,F
7,G:maj,F
7,G:maj,E
7,G:maj,E
7,G:maj,D
8,C:maj,C
8,C:maj,C
9,D:min,F
9,D:min,E
9,D:min,D
10,G:maj,B
10,G:maj,A
11,C:maj,G
11,C:maj,A
12,C#:min,G
12,C#:min,E
13,D:min,F
13,D:min,E
13,D:min,D
14,G:maj,B
14,G:maj,D
15,C:maj,E
16,C:maj,E
16,C:maj,G
16,C:maj,G
17,D:min,F
17,D:min,E
17,D:min,D
18,G:maj,B
18,G:maj,D
19,E:min,G
19,E:min,E
20,A:min,C
20,A:min,G
21,D:maj,A
21,D:maj,B
21,D:maj,C
22,G:maj,B
22,G:maj,A
22,G:maj,G
23,C:maj,C
24,C:maj,C
24,C:maj,E
25,D:min,F
25,D:min,E
25,D:min,D
25,D:min,B
25,D:min,A
26,C:maj,G
26,C:maj,A
26,C:maj,G
26,C:maj,E
27,D:min,F
27,D:min,E
27,D:min,D
27,D:min,B
27,D:min,D
28,C:maj,E
28,C:maj,E
28,C:maj,G
29,D:min,F
29,D:min,E
29,D:min,D
29,D:min,B
29,D:min,D
30,C:maj,G
30,C:maj,E
30,C:maj,C
30,C:maj,G
31,D:maj,A
31,D:maj,B
31,D:maj,C
31,D:maj,B
31,D:maj,A
31,D:maj,G
32,C:maj,C
33,G:maj,G
33,G:maj,G
33,G:maj,F
33,G:maj,F
34,G:maj,E
34,G:maj,E
34,G:maj,D
35,C:maj,C
