measure,chord,note
1,C:maj,G
1,C:maj,A
2,C#:min,G
2,C#:min,A
2,C#:min,A
2,C#:min,G
3,G:maj,G
3,G:maj,A
4,G:maj,G
4,G:maj,A
4,G:maj,A
4,G:maj,G
5,G:maj,G
5,G:maj,A
6,G:maj,G
6,G:maj,A
6,G:maj,E
6,G:maj,D
7,C:maj,C
8,C:maj,C
9,C:maj,G
9,C:maj,A
10,C#:min,G
10,C#:min,A
10,C#:min,A
10,C#:min,G
11,G:maj,G
11,G:maj,A
12,G:maj,G
12,G:maj,A
12,G:maj,A
12,G:maj,G
13,G:maj,G
13,G:maj,A
14,G:maj,G
14,G:maj,A
14,G:maj,E
14,G:maj,D
15,C:maj,C
16,G#:maj,C
16,G#:maj,D#
16,G#:maj,E
17,C:maj,C
18,C:maj,C
18,C:maj,G#
18,C:maj,A
19,F:maj,F
20,E:maj,F
20,E:maj,E
20,E:maj,D#
21,D:maj,D
21,D:maj,D
22,D:maj,C
22,D:maj,A
22,D:maj,C
23,G:maj,B
24,G:maj,B
25,C:maj,G
25,C:maj,A
26,C#:min,G
26,C#:min,A
26,C#:min,A
26,C#:min,G
27,G:maj,G
27,G:maj,A
28,G:maj,G
28,G:maj,A
28,G:maj,A
28,G:maj,G
29,G:maj,G
29,G:maj,A
30,G:maj,G
30,G:maj,A
30,G:maj,E
30,G:maj,D
31,C:maj,C
32,D:min,C
33,C:maj,C
34,C:maj,C
