measure,chord,note
1,C:maj,C
1,C:maj,G
2,F:maj,A
2,F:maj,G
2,F:maj,F
3,C:maj,E
3,C:maj,G
4,C:maj,G
4,C:maj,G#
5,D:maj,A
5,D:maj,D
5,D:maj,C
6,G:maj,B
6,G:maj,A
6,G:maj,B
7,C:maj,C
8,D#:min,C
8,D#:min,G
9,F:maj,A
9,F:maj,D
9,F:maj,C
10,F:min,G#
10,F:min,D
10,F:min,C
11,C:maj,G
11,C:maj,D
11,C:maj,C
12,A:min,G
12,A:min,D
12,A:min,C
13,B:maj,F#
13,B:maj,G
13,B:maj,A
14,B:maj,B
14,B:maj,B
15,E:maj,B
16,G:maj,B
16,G:maj,E
16,G:maj,F
16,G:maj,F#
17,C:maj,G
18,F:maj,A
18,F:maj,A
18,F:maj,G
19,C:maj,G
19,C:maj,C
20,C:maj,C
21,F:maj,C
22,F:maj,D
22,F:maj,D
22,F:maj,C
23,F:maj,C
23,F:maj,A
24,G:maj,A
24,G:maj,G
25,C:maj,C
25,C:maj,G
26,F:maj,A
26,F:maj,G
26,F:maj,F
27,C:maj,E
27,C:maj,G
28,A:maj,G
28,A:maj,G#
29,D:maj,A
29,D:maj,D
29,D:maj,C
30,G:maj,B
30,G:maj,A
30,G:maj,B
31,C:maj,C
32,C:maj,C
