measure,chord,note
1,C:maj,E
1,C:maj,G
1,C:maj,G#
2,F:maj,A
2,F:maj,C
2,F:maj,D
3,C:maj,E
4,A:maj,G
5,D:maj,E
5,D:maj,D
5,D:maj,A
6,G:maj,B
6,G:maj,C
6,G:maj,D
7,C:maj,G
8,G:maj,G
8,G:maj,G
9,C:maj,E
9,C:maj,G
9,C:maj,G#
10,F:maj,A
10,F:maj,C
10,F:maj,D
11,C:maj,E
12,A:maj,C
12,A:maj,C
13,D:maj,E
13,D:maj,D
13,D:maj,C
14,D:maj,A
14,D:maj,C
14,D:maj,E
15,G:maj,D
16,G:maj,D
16,G:maj,G
17,C:maj,E
17,C:maj,G
17,C:maj,G#
18,F:maj,A
18,F:maj,C
18,F:maj,D
19,C:maj,E
20,C:maj,C
20,C:maj,C
20,C:maj,C
21,F:maj,F
21,F:maj,F
21,F:maj,F
22,B:min,F
22,B:min,C
22,B:min,D
23,E:maj,E
24,E:maj,E
24,E:maj,E
25,A:maj,G
25,A:maj,F
25,A:maj,E
26,A:maj,E
26,A:maj,F
26,A:maj,E
27,D:min,D
28,D:min,A
28,D:min,A
29,D:maj,A
29,D:maj,A
29,D:maj,B
30,D:min,C
30,D:min,G#
30,D:min,A
31,G:maj,D
32,G:maj,D
33,C:maj,G
34,F#:min,F#
34,F#:min,A
35,C:maj,G
36,C:maj,E
37,D:min,D
38,A:maj,C#
38,A:maj,D
39,D:min,A
40,D:min,A
41,G:maj,B
42,G:min,A#
42,G:min,B
43,G:maj,E
44,G:maj,D
44,G:maj,B
45,D:min,A
46,F:min,G#
47,G:maj,G
48,G:maj,G
49,C:maj,G
50,F#:min,F#
50,F#:min,A
51,C:maj,G
52,C:maj,E
53,D:min,D
54,A:maj,C#
54,A:maj,D
55,D:min,A
56,D:min,A
57,F:maj,C
58,B:maj,B
58,B:maj,C
59,C:maj,G
60,A:maj,E
61,D:maj,D
62,G:maj,A
62,G:maj,B
63,C:maj,C
64,F:maj,C
65,C:maj,C
66,C:maj,C
