measure,chord,note
1,G:maj,A
1,G:maj,G
2,G:maj,A
2,G:maj,B
3,C:maj,E
4,C:maj,E
5,G:maj,A
5,G:maj,G
6,G:maj,A
6,G:maj,B
7,C:maj,E
8,C:maj,E
9,A:maj,A
9,A:maj,G#
10,A:maj,G
10,A:maj,F#
10,A:maj,F
10,A:maj,E
11,D:maj,E
11,D:maj,D#
11,D:maj,D
11,D:maj,C
12,D:maj,C
13,D:maj,E
13,D:maj,D#
13,D:maj,D
13,D:maj,C#
14,D:maj,C
14,D:maj,A
15,G:maj,A
15,G:maj,G
15,G:maj,A
15,G:maj,G
16,F#:maj,G
16,F#:maj,F#
16,F#:maj,G
16,F#:maj,G#
17,G:maj,A
17,G:maj,G
18,G:maj,A
18,G:maj,B
19,C:maj,E
20,C:maj,E
20,C:maj,G
21,G:maj,A
21,G:maj,G
22,D:min,A
22,D:min,B
23,E:maj,E
24,E:maj,E
24,E:maj,E
25,A:maj,A#
25,A:maj,A
26,A:maj,G
26,A:maj,E
27,D:min,F
27,D:min,D
27,D:min,E
27,D:min,C#
28,D:min,D
28,D:min,E
28,D:min,F
28,D:min,G
29,G:maj,A
29,G:maj,G
30,D:min,A
30,D:min,E
31,C:maj,C
32,C:maj,C
