measure,chord,note
2,F:maj,C
2,F:maj,D
2,F:maj,C
2,F:maj,D
2,F:maj,C
3,A#:maj,C
3,A#:maj,C
3,A#:maj,D
3,A#:maj,C
3,A#:maj,A#
3,A#:maj,A
3,A#:maj,G
4,F:maj,A
4,F:maj,A#
4,F:maj,A
4,F:maj,A#
4,F:maj,A
5,F:maj,A
5,F:maj,A
5,F:maj,A#
5,F:maj,A
5,F:maj,G
5,F:maj,F
5,F:maj,E
6,F:maj,F
6,F:maj,G
6,F:maj,F
6,F:maj,E
6,F:maj,F
7,F:maj,F
7,F:maj,G
7,F:maj,F
7,F:maj,G
7,F:maj,F
7,F:maj,D
8,F:maj,F
9,E:maj,E
9,E:maj,E
9,E:maj,D
9,E:maj,C
9,E:maj,B
10,A:min,C
10,A:min,B
10,A:min,B
10,A:min,A
10,A:min,A
11,A:min,E
11,A:min,B
11,A:min,C
12,E:maj,D
12,E:maj,C
12,E:maj,C
12,E:maj,B
12,E:maj,B
13,E:maj,B
13,E:maj,C
13,E:maj,C
13,E:maj,D
14,A:min,E
14,A:min,D
14,A:min,D
14,A:min,C
14,A:min,C
15,A:min,E
15,A:min,D
15,A:min,D
15,A:min,A
15,A:min,C
16,G:min,D
16,G:min,C
16,G:min,C
16,G:min,A#
16,G:min,A#
16,G:min,A#
16,G:min,A#
16,G:min,G
17,C:maj,D
17,C:maj,D
17,C:maj,D
17,C:maj,A
17,C:maj,C
17,C:maj,D
18,F:maj,C
18,F:maj,B
18,F:maj,C
18,F:maj,D
18,F:maj,C
19,A#:maj,C
19,A#:maj,C
19,A#:maj,D
19,A#:maj,C
19,A#:maj,A#
19,A#:maj,A
19,A#:maj,G
20,F:maj,A
20,F:maj,G
20,F:maj,A
20,F:maj,A#
20,F:maj,A
21,F:maj,A
21,F:maj,F
21,F:maj,G
22,F:maj,A#
22,F:maj,A
22,F:maj,A
22,F:maj,A#
22,F:maj,A
22,F:maj,F
23,F:maj,A#
23,F:maj,A
23,F:maj,A
23,F:maj,G
23,F:maj,A
23,F:maj,G
23,F:maj,F
23,F:maj,G
24,F:maj,F
25,A#:maj,F
25,A#:maj,D
25,A#:maj,D
26,F:maj,C
26,F:maj,D
26,F:maj,C
26,F:maj,D
26,F:maj,C
27,F:maj,D
27,F:maj,F
27,F:maj,D
27,F:maj,C
27,F:maj,A
28,A#:maj,G
28,A#:maj,F
28,A#:maj,G
28,A#:maj,A
28,A#:maj,G
29,A#:min,C
29,A#:min,A
29,A#:min,A#
30,F:maj,C
30,F:maj,D
30,F:maj,C
30,F:maj,A#
30,F:maj,A
30,F:maj,A#
30,F:maj,C
31,A#:maj,D
31,A#:maj,D
31,A#:maj,C
31,A#:maj,C
31,A#:maj,A#
32,F:maj,C
32,F:maj,B
32,F:maj,C
32,F:maj,D
32,F:maj,C
33,D:maj,D
33,D:maj,C
33,D:maj,D
33,D:maj,C
34,G:min,D
34,G:min,C
34,G:min,C
34,G:min,A#
34,G:min,C
35,C:maj,C
35,C:maj,C
35,C:maj,A#
35,C:maj,C
35,C:maj,A#
35,C:maj,A#
35,C:maj,A
36,F:maj,A
37,F:maj,A
38,A:min,C
38,A:min,B
38,A:min,B
38,A:min,A
38,A:min,B
38,A:min,C
39,A:min,C
39,A:min,A
39,A:min,B
39,A:min,C
40,A:min,D
40,A:min,D
40,A:min,C
40,A:min,B
40,A:min,C
40,A:min,D
41,A:min,D
41,A:min,C
41,A:min,C
41,A:min,D
42,A:min,E
42,A:min,D
42,A:min,D
42,A:min,C
42,A:min,C
43,A:min,E
43,A:min,E
43,A:min,E
43,A:min,D
43,A:min,C
43,A:min,C
44,G:min,D
44,G:min,C
44,G:min,C
44,G:min,A#
44,G:min,A#
44,G:min,A
44,G:min,A
44,G:min,G
45,C:maj,D
45,C:maj,D
45,C:maj,D
45,C:maj,A
45,C:maj,C
45,C:maj,C
46,C:maj,A
47,A#:maj,A
47,A#:maj,A#
47,A#:maj,A
47,A#:maj,F
47,A#:maj,D
47,A#:maj,F
48,F:maj,C
49,F:maj,C
