measure,chord,note
1,C:maj,D
1,C:maj,D
1,C:maj,B
1,C:maj,G
2,F:maj,G
2,F:maj,F
2,F:maj,G
2,F:maj,F
2,F:maj,E
2,F:maj,F
3,A#:maj,E
3,A#:maj,D
3,A#:maj,D
4,C:maj,D
4,C:maj,D
4,C:maj,B
4,C:maj,G
5,F:maj,G
5,F:maj,F
5,F:maj,G
5,F:maj,F
5,F:maj,E
5,F:maj,F
6,A#:maj,E
6,A#:maj,D
6,A#:maj,D
7,C:maj,F
7,C:maj,E
7,C:maj,D
7,C:maj,C
7,C:maj,F
8,C:maj,E
8,C:maj,D
8,C:maj,C
8,C:maj,C
8,C:maj,C
8,C:maj,C
9,A:min,G
9,A:min,F#
9,A:min,E
9,A:min,D
9,A:min,D
10,G:maj,A
10,G:maj,G
10,G:maj,G
10,G:maj,A
11,G:maj,G
11,G:maj,G
11,G:maj,F
12,C:maj,E
12,C:maj,E
12,C:maj,E
12,C:maj,E
12,C:maj,F
12,C:maj,E
12,C:maj,D
12,C:maj,C
13,C:maj,E
13,C:maj,D
13,C:maj,F
13,C:maj,F
14,C:maj,E
14,C:maj,E
14,C:maj,E
14,C:maj,E
14,C:maj,F
14,C:maj,E
14,C:maj,G
15,E:min,G
15,E:min,E
15,E:min,F
15,E:min,F
15,E:min,D
15,E:min,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,E
16,C:maj,F
16,C:maj,E
16,C:maj,D
16,C:maj,G
17,D:min,G
17,D:min,A
17,D:min,C
17,D:min,A
17,D:min,D
18,D:min,D
18,D:min,A
19,C:maj,G
20,C:maj,G
20,C:maj,F
20,C:maj,E
21,D:min,A
21,D:min,A
21,D:min,C
21,D:min,C
21,D:min,F
22,D:min,G
22,D:min,G
22,D:min,A
22,D:min,E
22,D:min,D
23,D:min,E
23,D:min,E
23,D:min,G
23,D:min,B
23,D:min,A
24,C:maj,B
