measure,chord,note
2,D:min,G
3,G:maj,A
3,G:maj,G
3,G:maj,A
3,G:maj,G
3,G:maj,A
3,G:maj,G
4,C:maj,E
5,A:maj,A
5,A:maj,G
5,A:maj,A
5,A:maj,G
5,A:maj,E
5,A:maj,D#
6,D:min,E
6,D:min,C
6,D:min,C
6,D:min,C
7,F:min,E
7,F:min,C
7,F:min,C
7,F:min,C
7,F:min,D
8,C:maj,E
9,C:maj,G
9,C:maj,F
9,C:maj,E
9,C:maj,F
10,D:min,G
11,G:maj,A
11,G:maj,G
11,G:maj,A
11,G:maj,G
11,G:maj,A
11,G:maj,G
12,C:maj,E
13,A:maj,A
13,A:maj,G
13,A:maj,A
13,A:maj,G
13,A:maj,E
13,A:maj,D#
14,D:min,E
14,D:min,C
14,D:min,C
14,D:min,C
15,F:min,E
15,F:min,C
15,F:min,C
15,F:min,C
15,F:min,G#
16,C:maj,C
17,C:maj,C
17,C:maj,D
17,C:maj,E
17,C:maj,D
17,C:maj,C
17,C:maj,B
18,G:min,A#
18,G:min,A#
19,C:maj,C
19,C:maj,D
19,C:maj,E
19,C:maj,D
19,C:maj,C
19,C:maj,A#
20,F:maj,A
21,F:maj,D
21,F:maj,E
21,F:maj,F#
21,F:maj,E
21,F:maj,D
21,F:maj,C#
22,A:min,C
22,A:min,C
23,D:maj,D
23,D:maj,E
23,D:maj,F#
23,D:maj,E
23,D:maj,D
23,D:maj,C
24,G:maj,B
24,G:maj,G
24,G:maj,G
24,G:maj,G
24,G:maj,A
24,G:maj,G
24,G:maj,G
24,G:maj,G
25,G:maj,A
25,G:maj,G
25,G:maj,G
25,G:maj,F
25,G:maj,E
25,G:maj,F
26,D:min,G
27,G:maj,A
27,G:maj,G
27,G:maj,A
27,G:maj,G
27,G:maj,A
27,G:maj,G
28,C:maj,E
29,A:maj,A
29,A:maj,G
29,A:maj,A
29,A:maj,G
29,A:maj,E
29,A:maj,D#
30,D:min,E
30,D:min,C
30,D:min,C
30,D:min,C
30,D:min,D
31,F:min,E
31,F:min,C
31,F:min,C
31,F:min,C
31,F:min,D
31,F:min,C
31,F:min,D
32,G:min,E
33,A:maj,A
33,A:maj,G
33,A:maj,F
33,A:maj,E
33,A:maj,D
34,C:maj,C
35,G:maj,G
35,G:maj,F
35,G:maj,E
35,G:maj,F
36,A:maj,A
36,A:maj,G
36,A:maj,A
36,A:maj,G
36,A:maj,A
37,C:maj,C
38,C:maj,C
