measure,chord,note
2,A:min,E
2,A:min,C
2,A:min,B
2,A:min,A
3,E:maj,G#
3,E:maj,B
3,E:maj,E
3,E:maj,E
4,B:maj,D#
4,B:maj,C
4,B:maj,B
4,B:maj,A
5,E:maj,G#
5,E:maj,A
5,E:maj,B
5,E:maj,E
5,E:maj,F
5,E:maj,E
6,B:maj,D#
6,B:maj,C
6,B:maj,B
6,B:maj,A
6,B:maj,G#
7,A:min,A
8,D:min,F
8,D:min,G
8,D:min,F
9,A:min,E
9,A:min,C
9,A:min,E
10,D:min,F
10,D:min,G
10,D:min,F
11,E:maj,E
11,E:maj,B
11,E:maj,E
11,E:maj,E
11,E:maj,F
11,E:maj,E
12,A:min,E
12,A:min,C
12,A:min,B
12,A:min,A
13,E:maj,G#
13,E:maj,B
13,E:maj,E
13,E:maj,E
14,B:maj,D#
14,B:maj,C
14,B:maj,B
14,B:maj,A
14,B:maj,G#
15,A:min,A
