measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,D
2,F:maj,E
2,F:maj,F
2,F:maj,F
2,F:maj,F
2,F:maj,E
3,G:maj,D
4,G:maj,D
5,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,D
6,F:maj,D
6,F:maj,F
6,F:maj,F
6,F:maj,E
7,A#:maj,D
8,A#:maj,D
9,D:min,D
9,D:min,D
9,D:min,E
10,A:maj,E
10,A:maj,G
10,A:maj,G
10,A:maj,G
10,A:maj,F
11,D:min,F
12,F:min,F
12,F:min,G#
12,F:min,A
12,F:min,G
12,F:min,F
13,C:maj,E
14,C#:maj,E
14,C#:maj,G
14,C#:maj,F
14,C#:maj,E
15,D:min,D
16,G:maj,D
17,C:maj,E
17,C:maj,F
17,C:maj,G
17,C:maj,A
17,C:maj,C
18,C:maj,D
18,C:maj,E
19,D:min,D
19,D:min,E
19,D:min,F
19,D:min,G
19,D:min,B
20,G:maj,C
20,G:maj,D
21,C:maj,E
21,C:maj,F
21,C:maj,G
21,C:maj,A
21,C:maj,B
22,A:min,C
22,A:min,B
22,A:min,A
22,A:min,G
22,A:min,A
23,D:maj,G
23,D:maj,F#
24,G:maj,F#
24,G:maj,F
25,C:maj,E
25,C:maj,F
25,C:maj,G
25,C:maj,A
25,C:maj,C
26,C:maj,D
26,C:maj,E
27,D:min,D
27,D:min,E
27,D:min,F
27,D:min,G
27,D:min,B
28,G:maj,C
28,G:maj,D
29,C:maj,E
29,C:maj,F
29,C:maj,G
29,C:maj,A
29,C:maj,B
30,A:min,C
30,A:min,B
30,A:min,A
30,A:min,G
30,A:min,A
31,D:maj,G
31,D:maj,F#
32,G:maj,G
32,G:maj,D
32,G:maj,D
32,G:maj,D
33,A:min,E
33,A:min,F#
34,G:maj,F#
34,G:maj,G
35,A:min,G
35,A:min,A
36,G:maj,D
36,G:maj,D
36,G:maj,D
36,G:maj,D
37,A:min,E
37,A:min,F#
38,G:maj,F#
38,G:maj,G
39,D:min,G
40,G:maj,G
41,C:maj,E
41,C:maj,F
41,C:maj,G
41,C:maj,A
41,C:maj,C
42,C:maj,D
42,C:maj,E
43,D:min,D
43,D:min,E
43,D:min,F
43,D:min,G
43,D:min,B
44,G:maj,C
44,G:maj,D
45,C:maj,E
45,C:maj,F
45,C:maj,G
45,C:maj,A
45,C:maj,B
46,A:min,C
46,A:min,B
46,A:min,A
46,A:min,G
46,A:min,A
47,D:maj,D
48,G:maj,D
49,C:maj,C
50,C:maj,C
