measure,chord,note
1,G:maj,G
1,G:maj,C
1,G:maj,A
1,G:maj,G
2,C:maj,E
3,C:maj,E
3,C:maj,G
3,C:maj,A
3,C:maj,G
4,F:maj,F
5,F:maj,F
5,F:maj,C
5,F:maj,C
5,F:maj,D
5,F:maj,C
6,G:maj,B
7,G:maj,B
7,G:maj,G
7,G:maj,A
7,G:maj,F
8,C:maj,E
9,G:maj,E
9,G:maj,G
9,G:maj,C
9,G:maj,A
9,G:maj,G
10,C:maj,E
11,C:maj,E
11,C:maj,G
11,C:maj,A
11,C:maj,G
12,F:maj,F
13,F:maj,F
13,F:maj,C
13,F:maj,C
13,F:maj,D
13,F:maj,C
14,G:maj,B
15,G:maj,B
15,G:maj,E
15,G:maj,F
15,G:maj,B
16,C:maj,C
17,C:maj,C
17,C:maj,C
17,C:maj,C
17,C:maj,C
18,F:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,C
19,F:maj,C
20,C:maj,A
20,C:maj,G
20,C:maj,G
21,C:maj,G
21,C:maj,C
21,C:maj,C
21,C:maj,C
22,D:maj,C
23,D:maj,C
23,D:maj,A
23,D:maj,B
23,D:maj,C
24,G:maj,B
25,G:maj,B
25,G:maj,G
25,G:maj,C
25,G:maj,A
25,G:maj,G
26,C:maj,E
27,C:maj,E
27,C:maj,G
27,C:maj,A
27,C:maj,G
28,F:maj,F
29,F:maj,F
29,F:maj,C
29,F:maj,C
29,F:maj,D
29,F:maj,C
30,G:maj,B
31,G:maj,B
31,G:maj,G
31,G:maj,A
31,G:maj,B
32,C:maj,C
33,G:maj,C
33,G:maj,G
33,G:maj,C
33,G:maj,A
33,G:maj,G
34,C:maj,C
35,C:maj,C
