measure,chord,note
1,G:min,A#
1,G:min,F#
1,G:min,G
2,C:maj,F#
2,C:maj,G
2,C:maj,G#
2,C:maj,F#
2,C:maj,G
2,C:maj,C
2,C:maj,A#
3,F:min,G#
3,F:min,F
3,F:min,E
3,F:min,F
4,F:min,C
4,F:min,D
4,F:min,D#
4,F:min,E
4,F:min,F
4,F:min,G
4,F:min,G#
4,F:min,A
4,F:min,A#
5,D:min,B
5,D:min,A#
5,D:min,G#
5,D:min,F
6,G:maj,D
6,G:maj,E
6,G:maj,F
6,G:maj,G
6,G:maj,A#
6,G:maj,G#
6,G:maj,G
6,G:maj,F
7,C:maj,E
7,C:maj,F
7,C:maj,E
7,C:maj,F
7,C:maj,F#
8,D:maj,D
8,D:maj,E
9,G:min,F#
9,G:min,G
9,G:min,A
9,G:min,A#
9,G:min,F#
10,C:maj,C
10,C:maj,C#
10,C:maj,C
10,C:maj,G#
11,F:min,E
11,F:min,E
11,F:min,F
11,F:min,G
11,F:min,G#
12,F:min,D
12,F:min,D
12,F:min,E
13,D:min,F
13,D:min,E
13,D:min,F
13,D:min,E
13,D:min,D
13,D:min,C
14,G:maj,B
14,G:maj,D#
14,G:maj,G
14,G:maj,C
14,G:maj,D
14,G:maj,A
14,G:maj,F
14,G:maj,C#
14,G:maj,C#
15,C:maj,C
15,C:maj,E
15,C:maj,F#
16,C:maj,B
16,C:maj,C
16,C:maj,D
17,C:min,D#
17,C:min,D
17,C:min,B
17,C:min,C
17,C:min,D
17,C:min,D#
17,C:min,F#
17,C:min,F
18,F:maj,F#
18,F:maj,F
18,F:maj,D
18,F:maj,D#
18,F:maj,G#
18,F:maj,F#
18,F:maj,F
18,F:maj,D#
19,A#:maj,D
19,A#:maj,C
19,A#:maj,F
20,A#:maj,G
20,A#:maj,C
20,A#:maj,F
20,A#:maj,A#
20,A#:maj,D#
21,G#:maj,G#
21,G#:maj,F
21,G#:maj,F#
21,G#:maj,B
21,G#:maj,A
22,G#:maj,G#
22,G#:maj,F#
22,G#:maj,F
22,G#:maj,D#
22,G#:maj,F
22,G#:maj,D#
22,G#:maj,D
22,G#:maj,D#
23,D:min,E
23,D:min,F
23,D:min,A#
24,G:maj,B
24,G:maj,C
24,G:maj,C#
24,G:maj,D
25,G:min,D#
25,G:min,C#
25,G:min,C
25,G:min,C#
25,G:min,D#
25,G:min,E
26,C:maj,A
26,C:maj,F#
26,C:maj,D#
26,C:maj,E
26,C:maj,F#
26,C:maj,G
26,C:maj,C
26,C:maj,A
27,F:min,G#
27,F:min,F
27,F:min,E
27,F:min,F
27,F:min,G
27,F:min,G#
28,F:min,B
28,F:min,A#
28,F:min,G
28,F:min,G#
28,F:min,E
29,C#:maj,E
29,C#:maj,F
29,C#:maj,A#
29,C#:maj,G#
29,C#:maj,G
29,C#:maj,G#
29,C#:maj,C#
30,G:maj,A#
30,G:maj,G#
30,G:maj,G
30,G:maj,F
31,C:maj,E
31,C:maj,F
31,C:maj,E
31,C:maj,F
31,C:maj,F#
31,C:maj,G
31,C:maj,F#
31,C:maj,G
32,C:maj,G#
32,C:maj,G#
