measure,chord,note
2,E:maj,E
2,E:maj,D
2,E:maj,C
2,E:maj,B
2,E:maj,E
2,E:maj,E
3,A:min,A
3,A:min,A
3,A:min,E
3,A:min,F
4,E:maj,G
4,E:maj,G
4,E:maj,G
4,E:maj,D
4,E:maj,E
4,E:maj,F
5,E:maj,E
6,E:maj,E
6,E:maj,G#
7,A:min,A
7,A:min,E
7,A:min,D
7,A:min,F
7,A:min,E
7,A:min,D
8,E:maj,C
8,E:maj,B
8,E:maj,D
8,E:maj,F
9,A:min,E
9,A:min,E
9,A:min,B
9,A:min,D
9,A:min,C
9,A:min,B
10,A:min,A
11,A:min,E
11,A:min,E
12,D:min,C
12,D:min,B
12,D:min,A
12,D:min,B
12,D:min,A
12,D:min,F
13,D:min,D
13,D:min,D
13,D:min,D#
14,A:min,E
14,A:min,E
14,A:min,B
14,A:min,D
14,A:min,C
14,A:min,B
15,A:min,A
16,A:min,E
16,A:min,E
17,D:min,C
17,D:min,B
17,D:min,A
17,D:min,B
17,D:min,A
17,D:min,F
18,D:min,D
18,D:min,D
18,D:min,D#
19,A:min,E
19,A:min,E
19,A:min,E
19,A:min,E
19,A:min,F#
19,A:min,G#
20,A:min,A
